,model,size,time,n_chunks,chunk_size,overlap,time_per_chunk,estimate_all_chunks
0,gte-base:latest,117 MB,1.2513840198516846s,10,1000,80,0.12513840198516846,343.6300518512726
1,command-r:v0.1,20 GB,1117.3074789047241s,10,1000,80,111.73074789047239,306812.6337072372
2,qwen2:0.5b,352 MB,4.989994049072266s,10,1000,80,0.49899940490722655,1370.252365875244
3,phi3:mini-128k,2.2 GB,22.486275672912598s,10,1000,80,2.24862756729126,6174.7312997818
4,mxbai-embed-large:latest,669 MB,2.841114044189453s,10,1000,80,0.28411140441894533,780.1699165344239
5,all-minilm:latest,45 MB,0.7188971042633057s,10,1000,80,0.07188971042633056,197.40914483070372
6,nomic-embed-text:latest,274 MB,1.6609559059143066s,10,1000,80,0.16609559059143067,456.0984917640686
7,gemma:2b-instruct-v1.1-q2_K,1.2 GB,11.922788858413696s,10,1000,80,1.1922788858413695,3273.9978205204006
8,tinyllama:latest,637 MB,6.755856990814209s,10,1000,80,0.6755856990814209,1855.1583296775816
9,llama3:latest,4.7 GB,31.9133939743042s,10,1000,80,3.19133939743042,8763.417985343933
